time,msl_hPa,u10,v10,wind_speed,eta_IB,eta_wind,eta_inst,eta_met,eta_IB_cm,eta_wind_cm,eta_inst_cm,eta_met_cm,astro_m,astro_cm,fuente,total_m,total_cm,galibo_entrada_m,galibo_entrada_cm,galibo_salida_m,galibo_salida_cm,residuo_m,residuo_cm
2026-08-05 12:00:00,1017.27125,1.9266510009765625,4.18048095703125,4.603086476665945,-0.016390261875000086,0.00611674736123532,-0.010273514513764766,-0.010273514513764766,-1.6390261875000085,0.611674736123532,-1.0273514513764765,-1.0273514513764765,-0.0937324916461617,-9.373249164616169,historico,-0.10400600615992646,-10.400600615992646,1.5870060061599265,158.70060061599264,1.5780060061599264,157.80060061599264,-0.010273514513764766,-1.0273514513764765
2026-08-05 13:00:00,1017.186741243264,1.9062889451728933,3.765530757127993,4.22056387528554,-0.015608260094543514,0.00496272765900692,-0.010645532435536594,-0.010310716305941948,-1.5608260094543513,0.496272765900692,-1.0645532435536593,-1.0310716305941947,-0.0977118133806063,-9.77118133806063,historico,-0.10802252968654825,-10.802252968654825,1.5910225296865483,159.10225296865482,1.5820225296865482,158.20225296865482,-0.010310716305941948,-1.0310716305941947
2026-08-05 14:00:00,1017.1170241531948,1.8584254652155783,3.3461504221335905,3.8275929586760586,-0.014963133001588526,0.003918852926640681,-0.011044280074947845,-0.010384072682842537,-1.4963133001588527,0.39188529266406813,-1.1044280074947845,-1.0384072682842538,-0.103421713196807,-10.3421713196807,historico,-0.11380578587964954,-11.380578587964955,1.5968057858796496,159.68057858796496,1.5878057858796495,158.78057858796495,-0.010384072682842537,-1.0384072682842538
2026-08-05 15:00:00,1017.069375,1.7964630126953125,2.9224090576171875,3.4304160179233794,-0.014522211562500338,0.002989166145015042,-0.011533045417485295,-0.010498969956306812,-1.4522211562500338,0.2989166145015042,-1.1533045417485295,-1.0498969956306812,-0.107441743059438,-10.744174305943801,historico,-0.11794071301574481,-11.794071301574482,1.600940713015745,160.0940713015745,1.5919407130157448,159.19407130157447,-0.010498969956306812,-1.0498969956306812
2026-08-05 16:00:00,1017.0363554764349,1.7161457831607922,2.510991977074244,3.041420236993203,-0.014216665401190274,0.002206778248125927,-0.012009887153064346,-0.010650061675982566,-1.4216665401190274,0.22067782481259268,-1.2009887153064347,-1.0650061675982565,-0.109754382041351,-10.9754382041351,historico,-0.12040444371733357,-12.040444371733356,1.6034044437173336,160.34044437173335,1.5944044437173335,159.44044437173335,-0.010650061675982566,-1.0650061675982565
2026-08-05 17:00:00,1017.0108513493285,1.5949246778819313,2.0950756558710095,2.6330831228694858,-0.013980662961011319,0.0015362697013381692,-0.012444393259673149,-0.010829494834351625,-1.3980662961011319,0.15362697013381693,-1.244439325967315,-1.0829494834351625,-0.111582464221705,-11.1582464221705,historico,-0.12241195905605662,-12.241195905605661,1.6054119590560567,160.54119590560566,1.5964119590560566,159.64119590560566,-0.010829494834351625,-1.0829494834351625
2026-08-05 18:00:00,1017.000625,1.41876220703125,1.6244659423828125,2.1567975792971077,-0.013886033437500129,0.0009236113592865876,-0.012962422078213541,-0.011042787558737817,-1.388603343750013,0.09236113592865876,-1.296242207821354,-1.1042787558737817,-0.111767105828513,-11.1767105828513,historico,-0.12280989338725082,-12.280989338725082,1.6058098933872509,160.5809893387251,1.5968098933872508,159.68098933872508,-0.011042787558737817,-1.1042787558737817
2026-08-05 19:00:00,1017.2482175925927,0.8688614749623861,0.9409502053716783,1.2807449206078534,-0.016177131493056638,0.0003098855511461512,-0.015867245941910486,-0.011525233397055083,-1.6177131493056638,0.03098855511461512,-1.5867245941910486,-1.1525233397055084,-0.107716983459537,-10.7716983459537,historico,-0.11924221685659207,-11.924221685659207,1.6022422168565922,160.22422168565922,1.593242216856592,159.3242216856592,-0.011525233397055083,-1.1525233397055084
2026-08-05 20:00:00,1017.7080324074075,0.05578687409034255,0.17714522175661773,0.18572184823540014,-0.02043202788194505,1.0983150356920445e-05,-0.02042104473158813,-0.012414814530508387,-2.043202788194505,0.0010983150356920445,-2.042104473158813,-1.2414814530508387,-0.0990145803968059,-9.90145803968059,historico,-0.11142939492731428,-11.142939492731427,1.5944293949273143,159.44293949273143,1.5854293949273142,158.54293949273142,-0.012414814530508387,-1.2414814530508387
2026-08-05 21:00:00,1017.955625,-0.3904571533203125,-0.2808990478515625,0.4810000661776632,-0.022723125937500508,-2.761649627937004e-05,-0.022750742433779877,-0.013448407320835534,-2.272312593750051,-0.002761649627937004,-2.2750742433779876,-1.3448407320835534,-0.0881788292506736,-8.817882925067359,historico,-0.10162723657150913,-10.162723657150913,1.5846272365715093,158.46272365715092,1.5756272365715092,157.5627236571509,-0.013448407320835534,-1.3448407320835534
