time,msl_hPa,u10,v10,fuente,lat_grid,lon_grid,wind_speed
2026-09-18 00:00:00,1016.024375,-0.107086181640625,-1.2516937255859375,forecast,39.5,2.75,1.2562661473468004
2026-09-18 03:00:00,1015.30375,-2.017791748046875,-1.57379150390625,forecast,39.5,2.75,2.5589652667149587
2026-09-18 06:00:00,1016.078125,-1.4156494140625,-2.0681304931640625,forecast,39.5,2.75,2.5062376184812423
2026-09-18 09:00:00,1016.929375,-3.898223876953125,-2.5176239013671875,forecast,39.5,2.75,4.640536553415218
2026-09-18 12:00:00,1016.39125,-2.33740234375,-1.318359375,forecast,39.5,2.75,2.683565009128414
2026-09-18 15:00:00,1016.35125,-3.504425048828125,-2.7003326416015625,forecast,39.5,2.75,4.42411474739895
2026-09-18 18:00:00,1017.0125,-3.1577606201171875,-2.3123931884765625,forecast,39.5,2.75,3.913900151009947
2026-09-18 21:00:00,1019.124375,-2.8106231689453125,-1.6736602783203125,forecast,39.5,2.75,3.271198759635283
2026-09-19 00:00:00,1019.54125,-2.069671630859375,-2.14105224609375,forecast,39.5,2.75,2.977859194133799
2026-09-19 03:00:00,1019.295625,-1.6119384765625,-1.5132598876953125,forecast,39.5,2.75,2.2109502798412866
2026-09-19 06:00:00,1020.1075,-1.9967498779296875,-2.2613677978515625,forecast,39.5,2.75,3.01675229214668
2026-09-19 09:00:00,1021.205625,-3.8309173583984375,-3.3348388671875,forecast,39.5,2.75,5.079082405019913
2026-09-19 12:00:00,1021.600625,-3.72869873046875,-2.775360107421875,forecast,39.5,2.75,4.648205884905275
2026-09-19 15:00:00,1021.03,-3.2330169677734375,-3.3583221435546875,forecast,39.5,2.75,4.6616227146564215
2026-09-19 18:00:00,1021.746875,-3.3795013427734375,-2.5500946044921875,forecast,39.5,2.75,4.233675922607638
2026-09-19 21:00:00,1023.50125,-1.96826171875,-2.2465667724609375,forecast,39.5,2.75,2.9868238074285967
2026-09-20 00:00:00,1023.553125,-1.4555816650390625,-1.8926544189453125,forecast,39.5,2.75,2.387647112357919
2026-09-20 03:00:00,1023.16375,-1.4984893798828125,-1.40802001953125,forecast,39.5,2.75,2.0562078681452314
2026-09-20 06:00:00,1024.011875,-0.735107421875,-1.814422607421875,forecast,39.5,2.75,1.9576803416337676
2026-09-20 09:00:00,1025.298125,-1.2894744873046875,-1.06097412109375,forecast,39.5,2.75,1.6698534483721443
2026-09-20 12:00:00,1024.648125,-0.5361328125,-0.8571624755859375,forecast,39.5,2.75,1.0110222065769738
2026-09-20 15:00:00,1023.584375,-2.8064422607421875,-0.528076171875,forecast,39.5,2.75,2.8556930167967765
2026-09-20 18:00:00,1024.1325,-4.02947998046875,-2.8741455078125,forecast,39.5,2.75,4.949486974735585
2026-09-20 21:00:00,1025.515625,-2.4308319091796875,-2.0803375244140625,forecast,39.5,2.75,3.199491832490184
2026-09-21 00:00:00,1025.44,-0.954345703125,-2.19476318359375,forecast,39.5,2.75,2.3932741491796805
2026-09-21 03:00:00,1024.45125,-1.120574951171875,-1.6172027587890625,forecast,39.5,2.75,1.9674940874698468
2026-09-21 06:00:00,1024.68875,-0.9868011474609375,-1.4227752685546875,forecast,39.5,2.75,1.7314924110261316
2026-09-21 09:00:00,1025.56125,-0.118011474609375,-0.330291748046875,forecast,39.5,2.75,0.35074113954216934
2026-09-21 12:00:00,1024.630625,2.477569580078125,2.4144287109375,forecast,39.5,2.75,3.4594532840215972
2026-09-21 15:00:00,1023.02875,2.858917236328125,2.5655517578125,forecast,39.5,2.75,3.8412841064140064
2026-09-21 18:00:00,1021.929375,0.6717987060546875,0.8440399169921875,forecast,39.5,2.75,1.0787571009884158
2026-09-21 21:00:00,1022.854375,-0.133941650390625,-1.17242431640625,forecast,39.5,2.75,1.1800504834158694
2026-09-22 00:00:00,1022.109375,-0.1354827880859375,-1.1743927001953125,forecast,39.5,2.75,1.1821817965691979
2026-09-22 03:00:00,1020.888125,1.2603302001953125,-1.3164215087890625,forecast,39.5,2.75,1.8224702473090826
2026-09-22 06:00:00,1020.626875,-0.0297088623046875,-1.504302978515625,forecast,39.5,2.75,1.5045963138564509
2026-09-22 09:00:00,1021.38625,0.632843017578125,-1.3464508056640625,forecast,39.5,2.75,1.4877567196859809
2026-09-22 12:00:00,1020.446875,1.1048736572265625,1.3965911865234375,forecast,39.5,2.75,1.7807899204308584
2026-09-22 15:00:00,1019.05875,-1.747589111328125,0.1208038330078125,forecast,39.5,2.75,1.7517594778113819
2026-09-22 18:00:00,1018.89625,-3.262664794921875,-2.2646942138671875,forecast,39.5,2.75,3.9716270527764963
2026-09-22 21:00:00,1019.810625,-1.577880859375,-1.2277679443359375,forecast,39.5,2.75,1.999280403425413
2026-09-23 00:00:00,1019.150625,-0.431365966796875,-0.915252685546875,forecast,39.5,2.75,1.0118122729594505
